,prefix,entity,continent,itu_zone,cq_zone,dxcc_code,arrl_outgoing,third_party,note_nr,deleted,paren,startdate,enddate,text
286,"9M6,8",East Malaysia,OC,54,28,046,True,False,8,False,"(9M2,4; 9M6,8)","September 16, 1963",,
287,9U,Burundi,AF,52,36,404,False,False,9,False,(9U; 9X),"July 1, 1962",,
288,9X,Rwanda,AF,52,36,454,False,False,9,False,(9U; 9X),"July 1, 1962",,
289,9V,Singapore,AS,54,28,381,True,False,10,False,(9V),,,"Contacts made from September 16, 1963 to August 8, 1965, count for West Malaysia."
290,BS7,Scarborough Reef,AS,50,27,506,False,False,11,False,(BS7),"January 1, 1995",,
291,BV9P,Pratas I.,AS,44,24,505,False,False,12,False,(BV9P),"January 1, 1994",,
292,D6,Comoros,AF,53,39,411,True,True,13,False,"(D6; FH,TO)","July 6, 1975",,
293,"FH,TO",Mayotte,AF,53,39,169,True,False,13,False,"(D6; FH,TO)","July 6, 1975",,
294,DA-DR,Federal Republic of Germany,EU,28,14,230,True,False,14,False,(DA-DR),,,"Contacts with DA-DL stations September 17, 1973, and after, and contacts made with Y2-Y9 stations October 3, 1990, and after, count for this entity."
295,E3,Eritrea,AF,48,37,051,False,False,15,False,(E3),,,"November 14, 1962, and before, or May 24, 1991, and after, count for this entity."
296,E4,Palestine,AS,39,20,510,False,False,43,False,(E4),"February 1, 1999",,
297,E7,Bosnia-Herzegovina,EU,28,15,501,True,True,29,False,(E7),,,"New prefix for Bosnia-Herzegovina effective November 17, 2007.  Contacts are valid for this entity effective October 15, 1991."
298,"FJ,TO",Saint Barthelemy,NA,11,08,516,True,False,49,False,"(FJ,TO)","December 14, 2007",,
299,"FK,TX",Chesterfield Is.,OC,56,30,512,False,False,45,False,"(FK,TX (Chesterfield Is.))","March 23, 2000",,
300,"FO,TO",Austral I.,OC,63,32,508,True,False,16,False,"(FO,TO; FO,TX (Marquesas Is./Austral Is.))","April 1, 1998",,
301,"FO,TX",Marquesas Is.,OC,63,31,509,True,False,16,False,"(FO,TO; FO,TX (Marquesas Is./Austral Is.))","April 1, 1998",,
302,"FT/G,TO",Glorioso Is.,AF,53,39,099,True,False,17,False,"(FT/G,TO; FT/J,E,TO)","June 25, 1960",,
303,"FT/J,E,TO","Juan de Nova, Europa",AF,53,39,124,True,False,17,False,"(FT/G,TO; FT/J,E,TO)","June 25, 1960",,
304,H40,Temotu Province,OC,51,32,507,True,False,18,False,(H40),"April 1, 1998",,
305,JD1,Minami Torishima,OC,90,27,177,True,False,19,False,(JD1 (Minami Torishima)),,,Formerly Marcus Island.
306,JD1,Ogasawara,AS,45,27,192,True,False,20,False,(JD1 (Ogasawara)),,,Formerly Bonin and Volcano Islands.
307,KH8,Swains I.,OC,62,32,515,True,True,48,False,(KH8),"July 22, 2006",,
308,KP5,Desecheo I.,NA,11,08,043,False,True,22,False,(KP5),"March 1, 1979",,
309,OK-OL,Czech Republic,EU,28,15,503,True,False,23,False,"(OK,OL; OM)","January 1, 1993",,
310,OM,Slovak Republic,EU,28,15,504,True,False,23,False,"(OK,OL; OM)","January 1, 1993",,
311,P2,Papua New Guinea,OC,51,28,163,False,False,24,False,(P2),"September 16, 1975",,
312,P4,Aruba,SA,11,09,091,True,False,25,False,(P4),"January 1, 1986",,
313,P5,Democratic People's Rep. of Korea,AS,44,25,344,False,False,26,False,(P5),"May 14, 1995",,
314,PJ2,Curacao,SA,11,09,517,False,False,50,False,(PJ2),"starting 0400 UTC October 10, 2010",,
315,PJ4,Bonaire,SA,11,09,520,False,False,51,False,(PJ4),"starting 0400 UTC October 10, 2010",,
316,"PJ5,6",Saba & St. Eustatius,NA,11,08,519,False,False,52,False,"(PJ5,6)","starting 0400 UTC October 10, 2010",,
317,PJ7,Sint Maarten,NA,11,08,518,False,False,53,False,(PJ7),"starting 0400 UTC October 10, 2010",,
318,S0,Western Sahara,AF,46,33,302,False,False,"1,27",False,,,,
319,T2,Tuvalu,OC,65,31,282,False,False,28,False,(T2),"January 1, 1976",,
320,"T8,",Palau,OC,64,27,022,False,False,21,False,(T8),"January 1, 1994",,(KC6 prior to this date).
321,TL,Central Africa,AF,47,36,408,False,False,30,False,(TL),"August 13, 1960",,
322,TN,Republic of the Congo,AF,52,36,412,False,False,31,False,(TN),"August 15, 1960",,
323,TR,Gabon,AF,52,36,420,True,False,32,False,(TR),"August 17, 1960",,
324,TT,Chad,AF,47,36,410,False,False,33,False,(TT),"August 11, 1960",,
325,TU,Cote d'Ivoire,AF,46,35,428,False,False,34,False,(TU),"August 7, 1960",,
326,TY,Benin,AF,46,35,416,False,False,35,False,(TY),"August 1, 1960",,
327,TZ,Mali,AF,46,35,442,True,False,36,False,(TZ),"June 20, 1960",,
328,V4,St. Kitts & Nevis,NA,11,08,249,False,True,37,False,(V4; VP2E; VP2M; VP2V),,,"For DXCC credit for contacts made May 31, 1958, and before, see page 97, June 1958 QST."
329,VP2E,Anguilla,NA,11,08,012,False,False,37,False,(V4; VP2E; VP2M; VP2V),,,"For DXCC credit for contacts made May 31, 1958, and before, see page 97, June 1958 QST."
330,VP2M,Montserrat,NA,11,08,096,False,False,37,False,(V4; VP2E; VP2M; VP2V),,,"For DXCC credit for contacts made May 31, 1958, and before, see page 97, June 1958 QST."
331,VP2V,British Virgin Is.,NA,11,08,065,True,False,37,False,(V4; VP2E; VP2M; VP2V),,,"For DXCC credit for contacts made May 31, 1958, and before, see page 97, June 1958 QST."
332,V6,Micronesia,OC,65,27,173,False,False,38,False,(V6),,,"Includes Yap Islands January 1, 1981, and after."
333,VP6,Ducie I.,OC,63,32,513,True,False,46,False,(VP6),"November 16, 2001",,
334,XT,Burkina Faso,AF,46,35,480,True,False,39,False,(XT),"August 16, 1960",,
335,YB-YH,Indonesia,OC,"51,54",28,327,True,False,40,False,(YB-YH),"May 1, 1963",,
336,Z3,North Macedonia (Republic of),EU,28,15,502,True,False,41,False,(Z3),"September 8, 1991",,
337,Z6,Republic of Kosovo,EU,28,15,522,False,False,"1,55",False,,,,
338,Z8,South Sudan (Republic of),AF,48,34,521,False,False,54,False,(Z8),"July 14, 2011",,
339,ZC4,UK Sovereign Base Areas on Cyprus,AS,39,20,283,True,False,42,False,(ZC4),"August 16, 1960",,
